act_name,act_no,section,section_title,category,subcategory,legal_system,law_text
Social Security Contribution Levy (Amendment) Act,10 of 2026,1,Short title,tax,levy,general_law,This Act may be cited as the Social Security Short title
Social Security Contribution Levy (Amendment) Act,10 of 2026,2,Section 4 of the Social Security Contribution Levy Amendment of,tax,levy,general_law,"No. 25 of 2022enactment ) is hereby amended in subsection (1) thereof as
follows: -
(1) in paragraph (c) thereof, by the substitution
for the words and figures on or after January
1, 2024, , of the words and figures on or after
January 1, 2024 and prior to July 1, 2026, ;
(2) by the addition immediately after paragraph (c)
thereof, of the following new paragraph: -
(d) for any period commencing on or after
July 1, 2026, not later than fifteen days
from the date on which the aggregate
of the turnover for a quarter exceeds or
likely to exceed nine million rupees or
from the date on which the aggregate of
the turnover for a period of consecutive
four quarters exceeds or likely to
exceed thirty-six million rupees: ; and
(3) in proviso to paragraph (c) thereof, by the
substitution for the words from the date of
2 Social Security Contribution Levy
operation of this (Amendment) Act. , of the
words and figures from March 20, 2024. ."
Social Security Contribution Levy (Amendment) Act,10 of 2026,3,Amendment of,tax,levy,general_law,"Section 5 of the principal enactment is hereby amended
section 5 of in subsection (1) thereof as follows: -
the principal
enactment
(1) in paragraph (b) thereof, by the substitution for
the words hundred and twenty million rupees;
or , of the words hundred and twenty million
rupees; ;
(2) in paragraph (c) thereof, by the substitution for
the words and figures on or after January 1,
2024, and the words sixty million rupees. ,
of the words and figures on or after January 1,
2024 and prior to July 1, 2026, and of the words
sixty million rupees; or respectively; and
(3) by the addition immediately after paragraph (c)
thereof, of the following new paragraph: -
(d) for any period commencing on or after
July 1, 2026, the aggregate turnover
of such registered person for a period
of consecutive four quarters does not
exceed thirty-six million rupees. ."
Social Security Contribution Levy (Amendment) Act,10 of 2026,4,Amendment,tax,levy,general_law,"The First Schedule to the principal enactment is hereby
of the First amended as follows: -"
Microfinance and Credit Regulatory Authority Act,9 of 2026,1,Short title,commercial,financial_regulation,general_law,"(1) This Act may be cited as the Microfinance and Short title
operation
(2) The provisions of this Act other than this section
shall come into operation on such date as the Minister may
appoint, by Order published in the Gazette (hereinafter
referred to as the appointed date ).
(3) The provisions of this section shall come into operation
on the date on which this Bill becomes an Act of Parliament.
PART I
Establishment of the Microfinance and Credit"
Microfinance and Credit Regulatory Authority Act,9 of 2026,2,,commercial,financial_regulation,general_law,"(1) There shall be established an Authority which shall Establishment of
be called the Microfinance and Credit Regulatory Authority the Microfinance
and Creditof Sri Lanka (in this Act referred to as the Authority ). Regulatory
Authority
2 Microfinance and Credit Regulatory Authority
(2) The Authority shall by the name assigned to it
by subsection (1), be a body corporate, with perpetual
succession and a common seal and may sue and be sued in
such name."
Microfinance and Credit Regulatory Authority Act,9 of 2026,3,Objects of the,commercial,financial_regulation,general_law,"The objects of the Authority shall be to
Authority
(a) regulate and supervise licensed moneylenders;
(b) regulate and supervise licensed microfinance
institutions;
(c) coordinate with the Central Bank and the
relevant regulatory authorities that regulate
and supervise registered co-operative societies,
samurdhi community based banks and samurdhi
community based banking societies, Farmers
Organisations, stock brokers and insurance
business; and
(d) protect the customers of licensed moneylenders
and licensed microfinance institutions."
Microfinance and Credit Regulatory Authority Act,9 of 2026,4,"Powers, duties",commercial,financial_regulation,general_law,"The powers, duties and functions of the Authority shall
and functions of be to
the Authority
(a) licence and regulate persons engaged in the
moneylending business and the microfinance
business;
(b) supervise persons engaged in the moneylending
business and the microfinance business;
(c) determine policies on market conduct and
supervise and regulate the licencees in line with
market developments;
Microfinance and Credit Regulatory Authority 3
(d) coordinate with the regulatory authorities
including the Credit Information Bureau of Sri
Lanka other than the Central Bank to implement
a responsible lending culture among the licensed
moneylenders and licensed microfinance
institutions;
(e) liaise with and secure the co-operation of
Government departments, State institutions,
local authorities, public corporations,
provincial authorities and other private or public
bodies, governmental and non governmental
organizations, or any other natural or legal
person;
(f) conduct credit counseling and financial literacy
programmes and awareness programmes on
moneylending and microfinance, for the general
public;
(g) establish a complaint handing mechanism
to handle the complaints of the customers
of licensed moneylending and licensed
microfinance institutions and maintain a
database of such complaints;
(h) maintain a database of the licensed moneylenders
and licensed microfinance institutions;
(i) conduct surveys and research on moneylending
and microfinance activities;
(j) hold, take, give on lease, hire, sell, mortgage,
grant, assign, exchange or otherwise dispose of
the movable or immovable property belonging
to the Authority;
4 Microfinance and Credit Regulatory Authority
(k) receive grants, gifts or donations in cash or kind:
Provided that, the Authority shall obtain the
prior written approval of the Director-General
of Department of External Resources of the
Ministry of the Minister to whom the subject
of Finance has been assigned in respect of all
foreign grants, donations and bequeaths;
(l) enter into and execute, whether directly or
through any officer or agent authorized in that
behalf by the Authority, all such contracts
or agreements as may be necessary, for the
discharge of the functions of the Authority;
(m) open and maintain any account with any bank
as it may think appropriate, and such account
shall be operated in accordance with prevailing
applicable written laws;
(n) manage, control, administer and operate the
Fund of the Authority;
(o) make rules for the administration of the affairs
of the Authority;
(p) subject to the provisions of section 15, outsource
any of its functions as may be determined by the
Authority;
(q) formulate a procedure for the appointment,
promotion, remuneration and disciplinary
control of the employees and the grant of leave
and other emoluments of such employees;
(r) make rules for the payment of money out of the
Fund of the Authority;
Microfinance and Credit Regulatory Authority 5
(s) to levy fees or charges for any service rendered
by the Authority; and
(t) do all such other acts which may be incidental or
conducive to the attainment of the objects of this
Act or the exercise or discharge of powers and
duties assigned to the Authority under this Act.
PART II
Administation and Management of the Affairs of the"
Microfinance and Credit Regulatory Authority Act,9 of 2026,5,,commercial,financial_regulation,general_law,"(1) The administration, management and control of Constitution of the
the affairs of the Authority shall be vested in a Board of Board of Directors
Directors (in this Act referred to as the Board ).
(2) The Board shall, for the purpose of administering the
affairs of the Authority, exercise, perform and discharge the
powers, duties and functions conferred on, assigned to or
imposed on the Authority by this Act.
(3) The Board shall consist of
(a) the following ex-officio members, namely
(i) Secretary to the Treasury or his
representative who shall be a Deputy
Secretary to the Treasury nominated by
the Secretary to the Treasury;
(ii) the Deputy Governor of the Central
Bank in charge of financial system
stability nominated by the Central Bank
or in his absence a Deputy Governor
nominated for the time being by the
Central Bank; and
6 Microfinance and Credit Regulatory Authority
(iii) the Registrar of Voluntary Social
Service Organizations or his
representative not below the rank of a
Deputy Registrar of Voluntary Social
Service Organizations;
(b) the following four members appointed by the
Minister (hereinafter referred to as appointed
members ):-
(i) a member who has expertise, reached
eminence and has experience in
microfinance;
(ii) a member who has expertise, reached
eminence and has experience in one or
more of the following fields:-
(A) banking;
(B) accounting;
(C) law;
(D) administration; or
(E) any other relevant field; and
(iii) two other members nominated by the
Governor of the Central Bank who
shall possess academic or professional
qualifications and have experience in the
fields of banking, finance, microfinance,
accounting, law, administration or any
other relevant discipline:
Provided that, out of the four appointed
members at least one member shall be a female
member."
Microfinance and Credit Regulatory Authority Act,9 of 2026,6,Chairperson of the,commercial,financial_regulation,general_law,"(1) Secretary to the Treasury or a Deputy Secretary
Authority to the Treasury nominated by the Secretary to the Treasury
shall be the Chairperson of the Authority.
Microfinance and Credit Regulatory Authority 7
(2) Where the Chairperson is temporarily unable to
perform the duties of his office due to ill health, other
infirmity, absence from Sri Lanka or any other cause, the
Minister may appoint any other ex-officio member to act as
the Chairperson in addition to his normal duties as a member."
